"iteration","dTime","dt","lon","lat","Month","Year","Bathymetry","Rugosity","Oxygen_Surface","Oxygen_100m","SSH","SLA","U","V","Chla_4km_8day","Chla_25km_monthly","FSLE_max","Theta_max","SST","SST_SD","MLD","ID","presabs"
1,"2011-02-24 16:00:00","2011-02-24",-79.0737326081828,26.933945131764,2,2011,-216.41796875,163.294684631188,4.84085702896118,4.61642980575562,-0.0613,0.6102,-0.0052,0.0924,0.0883673774626325,0.48791441321373,-0.207193374633789,18.6892433166504,23.4574933721684,0.285940796673176,1.9837032109499,"105595",1
1,"2011-02-25 16:00:00","2011-02-25",-79.0716381388167,26.9344563765412,2,2011,-216.41796875,163.294684631188,4.84085702896118,4.61642980575562,-0.0679,0.6036,0.0063,0.1007,0.0883673774626325,0.48791441321373,-0.207193374633789,18.6892433166504,23.620826701851,0.287147292765594,1.67851810157299,"105595",1
1,"2011-02-26 16:00:00","2011-02-26",-79.0651708656784,26.9329046735644,2,2011,-198.09375,156.371776075292,4.84085702896118,4.61642980575562,-0.0713,0.6002,0.0162,0.1103,0.0883673774626325,0.48791441321373,-0.207193374633789,18.6892433166504,23.9383266947543,0.265851725022856,2.28888832032681,"105595",1
1,"2011-02-27 16:00:00","2011-02-27",-79.0601287495132,26.9285675698591,2,2011,-198.09375,156.371776075292,4.84085702896118,4.61642980575562,-0.0759,0.5956,0.0298,0.1126,0.0883673774626325,0.48791441321373,-0.207193374633789,18.6892433166504,24.0941600246045,0.252670021971695,2.44148087501526,"105595",1
1,"2011-02-28 16:00:00","2011-02-28",-79.0650242981138,26.8880757787864,2,2011,-221.09765625,172.877725785934,4.84085702896118,4.61642980575562,-0.0777,0.5938,0.0442,0.1271,0.08673894948193,0.48791441321373,-0.222514227032661,20.2646560668945,24.31999335289,0.24091491735758,2.13629576563835,"105595",1
1,"2011-03-01 16:00:00","2011-03-01",-79.0636430987905,26.8894359310748,3,2011,-221.09765625,172.877725785934,4.90036487579346,4.46138381958008,-0.08,0.5915,0.0558,0.127,0.08673894948193,0.48791441321373,-0.222514227032661,20.2646560668945,24.8222155638867,0.229796315996844,1.52592554688454,"105595",1
1,"2011-03-02 16:00:00","2011-03-02",-79.0204722407187,26.8950265923372,3,2011,-163.23828125,144.00869343099,4.90036487579346,4.46138381958008,-0.0784,0.5931,0.0675,0.1426,0.0872762461503347,0.48791441321373,-0.096153661608696,33.8572463989258,24.1866600225369,0.231059665545323,1.52592554688454,"105595",1
1,"2011-03-03 16:00:00","2011-03-03",-79.0252829757017,26.8738290643864,3,2011,-171.6953125,154.543327694223,4.90036487579346,4.46138381958008,-0.0816,0.5899,0.0747,0.152,0.129345120418639,0.48791441321373,-0.184913948178291,39.2207527160645,24.0330489148593,0.255228960905221,27.4666598439217,"105595",1
1,"2011-03-04 16:00:00","2011-03-04",-78.9736264547731,26.8396160786881,3,2011,-108.80859375,125.655327221695,,,-0.07,0.6017,0.0554,0.1241,0.165292461140034,0.882680594921112,-0.0911373719573021,35.0319786071777,24.0024933599867,0.2738338851346,41.047397211194,"105595",1
1,"2011-03-05 16:00:00","2011-03-05",-78.9700334697201,26.8429707935449,3,2011,-108.80859375,125.655327221695,,,-0.0652,0.6064,0.0362,0.1274,0.165292461140034,0.882680594921112,-0.0663442239165306,22.5207042694092,23.6319378127137,0.291790715394937,46.6933217346668,"105595",1
1,"2011-03-08 16:00:00","2011-03-08",-78.9850423614557,26.8117690741487,3,2011,-149.537848605578,168.985424110344,,,-0.0571,0.6145,0.0452,0.1153,0.114279187151364,0.882680594921112,-0.0911373719573021,35.0319786071777,23.8697155851768,0.363392625745107,28.0770300626755,"105595",1
1,"2011-03-09 16:00:00","2011-03-09",-78.984764716918,26.8089498849088,3,2011,-149.537848605578,168.985424110344,,,-0.0553,0.6164,0.0398,0.106,0.114279187151364,0.882680594921112,-0.0911373719573021,35.0319786071777,24.1441600234869,0.361238931449884,39.5214716643095,"105595",1
